p_shipyard_trade_federation|Fédération du Commerce
# p_minorplanet_20|Dac Moon
p_minorplanet_21|Isde Naha
p_minorplanet_22|Duro
# p_minorplanet_23|Coruscant Moon
p_minorplanet_24|Anoth
# p_minorplanet_25|Tatooine Moon
p_minorplanet_26|Rori
p_minorplanet_27|Bilbringi
p_minorplanet_28|Tynna
# p_minorplanet_29|Dantooine Moon
p_minorplanet_30|Corulag
p_minorplanet_31|Togoria
p_minorplanet_32|Gall
p_minorplanet_33|Muunulist
p_minorplanet_34|Ruuria
p_minorplanet_35|Iridonia
# p_minorplanet_36|Kessel Moon
p_minorplanet_37|Bimmsari
p_minorplanet_38|Belkadan
p_minorplanet_39|Helska
p_minorplanet_40|Saki
 p_minorplanet_41|Nar Shaddaa
# p_minorplanet_42|Bothawui Moon
 p_minorplanet_43|Alzoc III
 p_minorplanet_44|Ruusan
# p_minorplanet_45|Dathomir Moon
 p_minorplanet_46|Yag'Dhul
 p_minorplanet_47|Selvaris
 p_minorplanet_48|Sump
# p_minorplanet_49|Mustafar Moon
 p_minorplanet_50|Dosuun
 p_minorplanet_51|Yaga Minor
 p_minorplanet_52|Nar Kreeta
 p_minorplanet_53|Pzob
 p_minorplanet_54|Barab I
 p_minorplanet_55|Lamaredd
 p_minorplanet_56|Ithor
 p_minorplanet_57|Kuat
 p_minorplanet_58|Rodia
 p_minorplanet_59|Bastion
 p_minorplanet_60|Anobis
 p_minorplanet_61|Thisspias
 p_minorplanet_62|Vjun
 p_minorplanet_63|Drongar
# p_minorplanet_64|Kamino Moon
 p_minorplanet_65|Mimban
 p_minorplanet_66|Alaris Prime
 p_minorplanet_67|Wayland
 p_minorplanet_68|Vulpter
 p_minorplanet_69|Bimmiel
# p_minorplanet_70|Gamorr Moon
 p_minorplanet_71|Concordia
 p_minorplanet_72|Bogden
# p_minorplanet_73|Dagobah Moon
 p_minorplanet_74|Roon
 p_minorplanet_75|Almania
 p_minorplanet_76|Obroa Skai
 p_minorplanet_77|Ord Mantell
 p_minorplanet_78|Charros IV
# p_minorplanet_79|Manaan Moon
 p_minorplanet_80|N'Zoth
 p_minorplanet_81|Brentaal
 p_minorplanet_82|Garqi
 p_minorplanet_83|Xal 3
# p_minorplanet_84|Christophsis Moon
 p_minorplanet_85|Phindar
 p_minorplanet_86|Vaal
 p_minorplanet_87|Serenno
 p_minorplanet_88|Derra IV
# p_minorplanet_89|Ryloth Moon
 p_minorplanet_90|Khomm
p_training_ground|Académie d'entraînement
p_training_ground_1|Académie d'entraînement
p_training_ground_2|Académie d'entraînement
p_training_ground_3|Académie d'entraînement
p_training_ground_4|Académie d'entraînement
p_training_ground_5|Académie d'entraînement
