itm_horse_meat|Pferdefleisch
itm_outfit_grey|Overall
itm_outfit_black|Overall
itm_outfit_green|Overall
itm_vest_open_a|Offene Weste
itm_vest_open_b|Offene Weste
itm_vest_closed_a|Geschlossene Weste
itm_vest_closed_b|Geschlossene Weste
itm_vest_closed_c|Geschlossene Weste
itm_shirt_blue|Hemd
itm_shirt_green|Hemd
itm_vest_closed_f|Schneejacke
itm_jacket_open_a|Offene Jacke
itm_jacket_open_b|Offene Jacke
itm_jacket_open_c|Offene Jacke
itm_female_jacket_a|Damen-Jacke
itm_female_jacket_b|Damen-Jacke
itm_female_jacket_c|Damen-Jacke
itm_female_dress_a|Kleid
itm_female_dress_b|Kleid
itm_female_dancer_outfit_a|Tänzerinnenoutfit
itm_female_dancer_outfit_a_cloak|Tänzerinnenoutfit
itm_female_dancer_boots|Tänzerinnenstiefel
# itm_female_leather_a|Female Leather Outfit
# itm_female_leather_b|Female Leather Outfit
# itm_female_leather_c|Female Leather Outfit
# itm_female_leather_d|Female Leather Outfit
itm_jacket_closed_a|Geschlossene Jacke
itm_jacket_closed_b|Geschlossene Jacke
itm_jacket_closed_c|Geschlossene Jacke
itm_klatooinian_armor|Klatooinianische Rüstung
itm_scavenger_armor|Plündererrüstung
itm_mercenary_armor|Söldner-Rüstung
itm_crime_lord_armor|Verbrecherherren-Rüstung
itm_trandoshan_flight_suit|Trandoshan-Fluganzug
itm_civilian_cloak|Ziviler Umhang
itm_white_cloak|Weißer Umhang
itm_padded_armor_white|Gepolsterte Rüstung
itm_padded_armor_red|Gepolsterte Rüstung
itm_padded_armor_blue|Gepolsterte Rüstung
itm_armor_blue|Rüstung
itm_armor_brown|Rüstung
itm_armor_red|Rüstung
itm_armor_white|Rüstung
itm_pirate_armor|Rüstung
itm_imperial_uniform_black|Imperiale Offiziers-Uniform
itm_imperial_uniform_green|Imperiale Offiziers-Uniform
itm_rebel_uniform_tanblue|Rebellen Kommandeurs-Uniform
itm_rebel_uniform_green|Rebellen Offiziers-Uniform
itm_imperial_trooper_armor|Imperiale Truppen-Rüstung
itm_imperial_navy_trooper_armor|Imperiale Flottentruppen-Rüstung
itm_imperial_trooper_armor|Imperiale Truppen-Rüstung
itm_rebel_technician_armor|Rebellen Kadetten-Rüstung
itm_republic_trooper_armor|Rebellen Flotten-Trooper-Rüstung
# itm_rebel_heavy_trooper_armor|Rebel Heavy Trooper Armor
itm_jedi_initiate_robe|Jedi Eingeweihten Robe
itm_jedi_padawan_robe|Jedi Lehrlings Robe
itm_sith_acolyte_outfit|Sith Akolyten-Ausstattung
itm_sith_apprentice_outfit|Sith Lehrlings-Ausstattung
itm_imperial_scout_trooper_armor|Imperiale Spähtruppen-Rüstung
itm_shadow_scout_trooper_armor|Imperiale Schatten-Spähtruppen-Rüstung
itm_republic_pilot_armor|Rebellen Piloten-Rüstung
itm_republic_commando_armor|Rebellen Kommando-Rüstung
# itm_republic_commando_desert_armor|Rebel Desert Commando Armor
# itm_republic_commando_urban_armor|Rebel Urban Commando Armor
itm_rebel_sniper_armor|Rebellen Scharfschützen Rüstung
itm_imperial_stormtrooper_armor|Imperiale Sturmtruppen-Rüstung
# itm_imperial_stormtrooper_armor_incinerator|Incinerator Trooper Armor
# itm_imperial_stormtrooper_armor_novatrooper|Novatrooper Armor
itm_imperial_stormtrooper_armor|Imperiale Sturmtruppen-Rüstung
itm_rebel_honor_guard_armor|Rebellen Ehrengarde-Rüstung
itm_clone_trooper_armor_white|Clone-Truppen-Rüstung
itm_clone_trooper_armor_green|Clone-Truppen-Rüstung
itm_clone_trooper_armor_blue|Clone-Truppen-Rüstung
itm_clone_trooper_armor_red|Clone-Truppen-Rüstung
itm_clone_trooper_armor_yellow|Clone-Truppen-Rüstung
itm_clone_trooper_armor_orange|Clone-Truppen-Rüstung
itm_clone_trooper_armor_mand|Clone-Truppen-Rüstung
# itm_clone_trooper_armor_lux|Clone Trooper Armor
itm_arc_trooper_armor_green|Arc-Truppen-Rüstung
itm_arc_trooper_armor_blue|Arc-Truppen-Rüstung
itm_arc_trooper_armor_red|Arc-Truppen-Rüstung
itm_arc_trooper_armor_yellow|Arc-Truppen-Rüstung
itm_arc_trooper_armor_orange|Arc-Truppen-Rüstung
itm_arc_trooper_armor_mand|Arc-Truppen-Rüstung
# itm_arc_trooper_armor_lux|Arc Trooper Armor
itm_skiff_guard_armor_brown|Skiff-Wachen-Rüstung
itm_skiff_guard_armor_grey|Skiff-Wachen-Rüstung
itm_skiff_guard_armor_white|Skiff-Wachen-Rüstung
itm_hutt_palace_guard_armor|Hutten Palastwachen-Rüstung
itm_jedi_knight_robe|Jedi-Ritter-Robe
itm_jedi_knight_robe_unique|Jedi-Ritter-Robe
itm_jedi_guardian_robe_a|Jediwächterrobe
itm_jedi_guardian_robe_b|Jediwächterrobe
itm_jedi_guardian_robe_c|Jediwächterrobe
itm_jedi_guardian_robe_d|Jediwächterrobe
itm_sith_knight_robe|Sithritterrobe
itm_sith_knight_robe_unique|Sithritterrobe
itm_sith_knight_robe_a|Sithritterrobe
itm_sith_knight_robe_b|Sithritterrobe
itm_sith_knight_robe_c|Sithritterrobe
itm_imperial_royal_guard_robe|Imperiale Königliche Wachen-Robe
itm_shadow_guard_robe|Imperiale Schattenwachen-Robe
itm_imperial_stormtrooper_armor_officer|Imperiale Sturmtruppen-Offiziers-Rüstung
itm_sw_desert_armor|Schwere Wüstenrüstung
itm_sw_urban_armor|Schwere Stadtrüstung
itm_sw_sniper_armor|Scharfschützenrüstung
itm_jedi_robe_a|Jedi-Robe
itm_jedi_robe_a_unique|Jedi-Robe
itm_jedi_robe_b|Sith-Robe
# itm_jedi_robe_b_long|Long Sith Robe
itm_jedi_robe_c|Jedi-Robe
# itm_jedi_robe_c_long|Long Sith Robe
itm_jedi_robe_d|Jedi-Robe
itm_jedi_robe_d_unique|Jedi-Robe
itm_jedi_robe_e|Jedi-Robe
itm_jedi_robe_e_unique|Jedi-Robe
itm_jedi_robe_f|Jedi-Robe
itm_jedi_robe_f_unique|Jedi-Robe
itm_jedi_master_robe|Jedi-Meister-Robe
itm_jedi_master_robe_unique|Jedi-Meister-Robe
itm_sith_marauder_robe|Sith-Marodeur-Robe
itm_sith_marauder_robe_unique|Sith-Marodeur-Robe
# itm_sith_marauder_robe_a|Sith Marauder Robe
# itm_sith_marauder_robe_b|Sith Marauder Robe
# itm_sith_marauder_robe_c|Sith Marauder Robe
# itm_sith_marauder_robe_d|Sith Marauder Robe
itm_sith_master_robe|Sith-Lehrmeister-Robe
itm_sith_master_robe_unique|Sith-Lehrmeister-Robe
itm_guard_armor|Wachen-Rüstung
itm_guard_armor_red|Hüter-Rüstung
itm_blast_armor_black|Detonator-Rüstung
itm_blast_armor_red|Detonator-Rüstung
itm_blast_armor_grey|Detonator-Rüstung
itm_blast_armor_bluegrey|Detonator-Rüstung
itm_ubese_armor|Ubese Rüstung
# itm_ubese_armor_alt|Ubese Armor
itm_wookiee_armor1|Wookiee-Rüstung
itm_wookiee_armor1_merch|Wookiee-Rüstung
itm_wookiee_armor2|Wookiee-Rüstung
itm_wookiee_armor2_merch|Wookiee-Rüstung
itm_wookiee_hunter_armor|Wookiee Jäger-Rüstung
itm_wookiee_hunter_helmet|Wookiee Jäger-Helm
itm_wookiee_female_head|Wookiee Frauen-Kopf
itm_wookiee_female_body|Wookiee Frauen-Körper
itm_wookiee_female_hands|Wookiee Frauen-Hand
itm_wookiee_female_feet|Wookiee Frauen-Fuß
itm_kaminoan_female_head|Kaminoanischer-Weiblicher-Kopf
itm_kaminoan_female_body|Kaminoanischer-Weiblicher-Körper
# itm_droid_weapon_no_attack|Droid Melee Weapon (No Attack)
itm_r2series_blue|R2-Serie Blau
itm_r2series_green|R2-Serie Grün
itm_r2series_orange|R2-Serie Orange
itm_r2series_purple|R2-Serie Lila
itm_mse6_armor|MSE-Serie Droiden-Körper
itm_lin_droid_armor|LIN-Droiden-Körper
itm_lin_droid_armor_w_arm|LIN-Droiden-Körper
# itm_power_droid_grey|Power Droid
# itm_power_droid_snow|Power Droid
# itm_power_droid_tan|Power Droid
# itm_fxseries_droid_armor|FX-Series Medical Droid Body
# itm_c3po_blue_head|3PO-Series Head
# itm_c3po_blue_hands|3PO-Series Hands
# itm_c3po_blue_body|3PO-Series Body
# itm_c3po_blue_feet|3PO-Series Feet
# itm_c3po_gold_head|3PO-Series Head
# itm_c3po_gold_hands|3PO-Series Hands
# itm_c3po_gold_body|3PO-Series Body
# itm_c3po_gold_feet|3PO-Series Feet
# itm_c3po_grey_head|3PO-Series Head
# itm_c3po_grey_hands|3PO-Series Hands
# itm_c3po_grey_body|3PO-Series Body
# itm_c3po_grey_feet|3PO-Series Feet
# itm_c3po_red_head|3PO-Series Head
# itm_c3po_red_hands|3PO-Series Hands
# itm_c3po_red_body|3PO-Series Body
# itm_c3po_red_feet|3PO-Series Feet
itm_3poseries_gold|3PO-Serie Gold
itm_3poseries_blue|3PO-Serie Blau
itm_3poseries_red|3PO-Serie Rot
itm_3poseries_grey|3PO-Serie Grau
itm_3poseries_attack|3PO-Serie mit Angriffsprotokoll
itm_b1series_body|B1-Serie Kampf-Droiden-Körper
# itm_bxseries_body|BX-Series Commando Droid Body
# itm_oomseries_body|OOM Security Droid Body
# itm_oomseries_pilot_body|OOM Pilot Droid Body
# itm_oomseries_marine_body|OOM Marine Droid Body
# itm_oomseries_command_body|OOM Command Droid Body
# itm_battle_droid_attack|Battle Droid Melee Attack
# itm_b2series_body|B2-Series Battle Droid Body
# itm_b2series_body_enhanced|C-B3 Battle Droid Body
# itm_b2series_attack|B2-Series Battle Droid Attack
# itm_b2series_blaster|B2-Series Battle Droid Blaster
# itm_transparent_droid_head|Transparent Head (for Droids)
# itm_transparent_droid_hands|Transparent Hands (for Droids)
# itm_transparent_droid_feet|Transparent Feet (for Droids)
itm_ig88_head|IG-88 Kopf
itm_ig88_hands|IG-88 Hände
itm_ig88_body|IG-88 Körper
itm_ig88_feet|IG-88 Beine
itm_ig88_attack| 
itm_ig88_e11_shield|IG-88 E-11-Schilde
itm_ig88_dlt20a|IG-88 DLT-20A-Gewehr
# itm_4lom_head|LOM-Series Head
# itm_hk_head|HK-Series Head
# itm_hk_hands|HK-Series Hands
# itm_hk_body|HK-Series Body
# itm_hk_feet|HK-Series Feet
itm_hk_attack| 
itm_mandalorian_tunic|Mandalorianische Tunika
itm_mandalorian_soldier_helmet|Mandalorianischer Soldatenhelm
# itm_mandalorian_soldier_helmet2|Mandalorian Soldier Helmet
# itm_mandalorian_soldier_helmet3|Mandalorian Soldier Helmet
itm_mandalorian_soldier_armor|Mandalorianische Soldatenrüstung
# itm_mandalorian_soldier_armor2|Mandalorian Soldier Armor
itm_mandalorian_soldier_boots|Mandalorianische Soldatenstiefel
itm_mandalorian_commando_helmet|Mandalorianischer Kommandohelm
itm_mandalorian_commando_armor|Mandalorianische Kommandorüstung
# itm_mandalorian_commando_armor2|Mandalorian Commando Armor
itm_mandalorian_commando_boots|Mandalorianische Kommandostiefel
itm_mandalorian_sniper_helmet|Mandalorianischer Scharfschützenhelm
itm_mandalorian_sniper_armor|Mandalorianische Scharfschützenrüstung
# itm_mandalorian_sniper_armor2|Mandalorian Sniper Armor
# itm_mandalorian_sniper_armor3|Mandalorian Sniper Armor
itm_mandalorian_sniper_boots|Mandalorianische Scharfschützenstiefel
itm_mandalorian_crusader_helmet|Mandalorianischer Plündererhelm
itm_mandalorian_neocrusader_helmet|Mandalorianischer Neo-Plündererhelm
itm_mandalorian_crusader_armor|Mandalorianische Plündererrüstung
itm_mandalorian_crusader_boots|Mandalorianische Plündererstiefel
itm_mandalorian_deadeye_helmet|Mandalorianischer Spezialistenhelm
itm_mandalorian_deadeye_armor|Mandalorianische Spezialistenrüstung
# itm_mandalorian_deadeye_armor2|Mandalorian Deadeye Armor
# itm_mandalorian_deadeye_armor3|Mandalorian Deadeye Armor
itm_mandalorian_deadeye_boots|Mandalorianische Spezialistenstiefel
itm_mandalorian_beskar_helmet|Mandalorianischer Beskar-Helm
itm_mandalorian_beskar_armor|Mandalorianische Beskar-Rüstung
itm_mandalorian_beskar_boots|Mandalorianische Beskar-Stiefel
itm_defiler_helmet|Korrumpierer-Helm
itm_defiler_armor|Korrumpierer-Rüstung
itm_defiler_boots|Korrumpierer-Stiefel
itm_black_sun_helmet|Black-Sun-Helm
# itm_black_sun_helmet_tan|Black Sun Helmet
# itm_black_sun_helmet_teal|Black Sun Helmet
# itm_black_sun_helmet_red|Black Sun Helmet
itm_black_sun_armor|Black-Sun-Rüstung
# itm_black_sun_armor_tan|Black Sun Armor
# itm_black_sun_armor_teal|Black Sun Armor
# itm_black_sun_armor_red|Black Sun Armor
itm_gamorrean_armor|Gamorreanische Rüstung
itm_moncal_armor|Mon-Calamari-Rüstung
itm_moncal_armor_2|Mon-Calamari-Rüstung
itm_moncal_boots|Mon-Calamari-Stiefel
itm_moncal_helmet|Mon-Calamari-Helm
itm_twilek_armor|Twi'lek Rüstung
itm_jawa_hood|Jawa-Kopf
itm_jawa_robe|Jawa-Robe
itm_jawa_boots|Jawa-Stiefel
itm_tusken_helmet|Tusken-Helm
itm_tusken_armor|Tusken-Rüstung
itm_trandoshan_armor|Trandoshanische Rüstung
itm_geonosian_armor|Geonosianische Rüstung
itm_lightsaber_green_arena|Lichtschwert
itm_lightsaber_blue_arena|Lichtschwert
itm_lightsaber_yellow_arena|Lichtschwert
itm_lightsaber_red_arena|Lichtschwert
itm_lightsaber_green|Lichtschwert
itm_lightsaber_blue|Lichtschwert
itm_lightsaber_orange|Lichtschwert
itm_lightsaber_purple|Lichtschwert
itm_lightsaber_yellow|Lichtschwert
itm_lightsaber_red|Lichtschwert
# itm_lightsaber_green_reverse|Reverse Grip Lightsaber
# itm_lightsaber_blue_reverse|Reverse Grip Lightsaber
# itm_lightsaber_orange_reverse|Reverse Grip Lightsaber
# itm_lightsaber_purple_reverse|Reverse Grip Lightsaber
# itm_lightsaber_yellow_reverse|Reverse Grip Lightsaber
# itm_lightsaber_red_reverse|Reverse Grip Lightsaber
itm_lightsaber_blue_double|Doppelklingen Lichtschwert
itm_lightsaber_green_double|Doppelklingen Lichtschwert
itm_lightsaber_orange_double|Doppelklingen Lichtschwert
itm_lightsaber_purple_double|Doppelklingen Lichtschwert
itm_lightsaber_red_double|Doppelklingen Lichtschwert
itm_lightsaber_yellow_double|Doppelklingen Lichtschwert
itm_lightsaber_green_2h|Zweihänder Lichtschwert
itm_lightsaber_blue_2h|Zweihänder Lichtschwert
itm_lightsaber_orange_2h|Zweihänder Lichtschwert
itm_lightsaber_purple_2h|Zweihänder Lichtschwert
itm_lightsaber_yellow_2h|Zweihänder Lichtschwert
itm_lightsaber_red_2h|Zweihänder Lichtschwert
itm_lightsaber_green_1h|Einhand Lichtschwert
itm_lightsaber_blue_1h|Einhand Lichtschwert
itm_lightsaber_orange_1h|Einhand Lichtschwert
itm_lightsaber_purple_1h|Einhand Lichtschwert
itm_lightsaber_yellow_1h|Einhand Lichtschwert
itm_lightsaber_red_1h|Einhand Lichtschwert
itm_lightsaber_green_pike|Lichtschwert-Pike
itm_lightsaber_blue_pike|Lichtschwert-Pike
itm_lightsaber_orange_pike|Lichtschwert-Pike
itm_lightsaber_purple_pike|Lichtschwert-Pike
itm_lightsaber_yellow_pike|Lichtschwert-Pike
itm_lightsaber_red_pike|Lichtschwert-Pike
itm_darth_vader_lightsaber|Darth Vader's Lichtschwert
itm_obi_wan_lightsaber|Obi-Wan Kenobi's Lichtschwert
itm_luke_skywalker_lightsaber|Luke Skywalker's Lichtschwert
# itm_anakin_skywalker_lightsaber|Anakin Skywalker's Lightsaber
# itm_lightsaber_red_multikill|Multi-hit Lightsaber (in development)
itm_melee_punch| 
